"Time (s)","Sound pressure level (dB)"
7.290293042E2,5.755845305E1
7.291314833E2,5.779266563E1
7.292330760E2,5.784673340E1
7.293388130E2,5.624962194E1
7.294449201E2,5.863797601E1
7.295506050E2,5.718897449E1
7.296550594E2,5.796912959E1
7.297615750E2,5.769493705E1
7.298636711E2,5.895103889E1
7.299658259E2,5.886374994E1
7.300674111E2,5.751266892E1
7.301723702E2,5.914970503E1
7.302782675E2,5.867187090E1
7.303809278E2,5.832255632E1
7.304872724E2,5.883392097E1
7.305936853E2,5.685443131E1
7.306982418E2,5.780343849E1
7.308001989E2,5.759935382E1
7.309018618E2,5.882139400E1
7.310057322E2,5.763160146E1
7.311122980E2,5.758705861E1
7.312174498E2,5.749426674E1
7.313190974E2,5.802062937E1
7.314256766E2,5.758519725E1
7.315321773E2,5.624982850E1
7.316345889E2,5.546650322E1
7.317389036E2,5.452878967E1
7.318454055E2,5.867929347E1
7.319516990E2,5.794441020E1
7.320534577E2,5.894290227E1
7.321598880E2,5.920306325E1
7.322663493E2,6.134471547E1
7.323689225E2,6.155758918E1
7.324707169E2,5.925119692E1
7.325771521E2,5.577297862E1
7.326832576E2,5.626368997E1
7.327862261E2,5.653454268E1
7.328879032E2,5.933787967E1
7.329943909E2,5.869183550E1
7.331009453E2,5.663948742E1
7.332033507E2,5.828563566E1
7.333051143E2,5.689197131E1
7.334116392E2,5.853033575E1
7.335181341E2,5.781772714E1
7.336205400E2,5.805984654E1
7.337223412E2,5.585708272E1
7.338246128E2,5.653677833E1
7.339303533E2,5.586432592E1
7.340359148E2,5.657333221E1
7.341379325E2,5.550105163E1
7.342395380E2,5.714563213E1
7.343460423E2,5.988763754E1
7.344526140E2,5.910123210E1
7.345550923E2,5.816627873E1
7.346567072E2,5.733430216E1
7.347632370E2,5.716922637E1
7.348692385E2,5.810173943E1
7.349723166E2,5.722541156E1
7.350739100E2,5.890076439E1
7.351804077E2,5.673410558E1
7.352859783E2,5.621657754E1
7.353895464E2,5.861043470E1
7.354911017E2,5.867191416E1
7.355975294E2,5.703515610E1
7.357025896E2,5.626407914E1
7.358048987E2,5.657990966E1
7.359069038E2,5.701099765E1
7.360085854E2,5.721318560E1
7.361110158E2,5.774235406E1
7.362176027E2,5.692145625E1
7.363221978E2,5.479104078E1
7.364242136E2,5.506095627E1
7.365258913E2,5.475085508E1
7.366323965E2,5.616791858E1
7.367359291E2,5.446877985E1
7.368394135E2,5.730135440E1
7.369414904E2,5.654890664E1
7.370431998E2,5.494960752E1
7.371497280E2,5.728258002E1
7.372525786E2,5.536629739E1
7.373568050E2,5.636477048E1
7.374587918E2,5.711198605E1
7.375605340E2,5.854802651E1
7.376669662E2,5.844244333E1
7.377693252E2,5.910285460E1
7.378747338E2,5.800456521E1
7.379777359E2,5.692437571E1
7.380842913E2,5.734194848E1
7.381859131E2,5.816819230E1
7.382912339E2,5.751756777E1
7.383933416E2,5.680360148E1
7.384950375E2,5.705115289E1
7.386016021E2,5.773483558E1
7.387080625E2,5.791143856E1
7.388104909E2,5.623943067E1
7.389122056E2,5.666448552E1
7.390187778E2,5.688384190E1
7.391223267E2,5.860749764E1
7.392257777E2,5.726282325E1
7.393279743E2,5.523433140E1
7.394294483E2,5.652796725E1
7.395303180E2,5.666552817E1
7.396358107E2,5.525269107E1
7.397417834E2,5.875331614E1
7.398452673E2,5.636792785E1
7.399506069E2,5.745041345E1
7.400526451E2,5.840528197E1
7.401570784E2,5.735458070E1
7.402606581E2,5.808052206E1
7.403626267E2,5.726530727E1
7.404690162E2,5.788077236E1
7.405755325E2,5.886404450E1
7.406797168E2,5.867693285E1
7.407857913E2,5.847273532E1
7.408923737E2,5.965933638E1
7.409968467E2,5.793663184E1
7.411023031E2,5.782753376E1
7.412088590E2,5.783522961E1
7.413139375E2,5.819013651E1
7.414188125E2,5.744748709E1
7.415253391E2,5.793986135E1
7.416309473E2,5.921912121E1
7.417356487E2,6.267716502E1
7.418402806E2,5.638476824E1
7.419462149E2,5.674789235E1
7.420523106E2,5.831173923E1
7.421588542E2,5.925003795E1
7.422631193E2,5.728201676E1
7.423688593E2,5.558246568E1
7.424754048E2,5.661973981E1
7.425800834E2,5.663509125E1
7.426852827E2,5.732128559E1
7.427918264E2,5.797458778E1
7.428982357E2,5.774508055E1
7.430021164E2,5.757892170E1
7.431085505E2,5.930821786E1
7.432142926E2,5.809353162E1
7.433187878E2,5.768936194E1
7.434252393E2,5.688319608E1
7.435312833E2,5.603704958E1
7.436351839E2,5.818943057E1
7.437417467E2,5.824797660E1
7.438438097E2,5.847524622E1
7.439484747E2,5.774970843E1
7.440519903E2,5.788689455E1
7.441547174E2,5.805306695E1
7.442612514E2,5.720390207E1
7.443677062E2,5.712171308E1
7.444694356E2,5.713403086E1
7.445759295E2,5.525581742E1
7.446823625E2,5.688192514E1
7.447849181E2,5.823615596E1
7.448866959E2,6.003684072E1
7.449931987E2,5.865293648E1
7.450998175E2,5.773330679E1
7.452021040E2,5.721178691E1
7.453038209E2,5.714279108E1
7.454103924E2,5.823966772E1
7.455169927E2,5.813147480E1
7.456193019E2,5.801661748E1
7.457208676E2,5.699996517E1
7.458217757E2,6.072619529E1
7.459235199E2,5.825605644E1
7.460299738E2,5.793569044E1
7.461346153E2,5.699173245E1
7.462382558E2,5.906739872E1
7.463406419E2,5.798406642E1
